joint,mean_err_px,median_err_px,max_err_px
0,235.6367924193,232.3251485490,311.9533820811
1,238.3444939587,235.9896596428,318.4306076732
2,232.0693917415,227.5495068676,303.4409280955
3,231.2233542293,229.8124283541,300.4660870700
4,227.9112320389,222.9840604136,301.0838425238
5,217.1555945872,213.3983430815,304.2769078297
6,219.3090196013,215.1383677541,282.1905952781
7,215.9332490681,210.7062670499,282.5651205563
8,209.5506094261,203.9491405141,277.3193748533
9,212.6605445832,209.5744004338,292.1506640872
10,216.2294844611,214.7564419987,281.2661316285
11,213.7797551352,214.0344108330,275.7817530324
12,215.3357480294,208.8842142140,292.2290527687
13,217.1033468981,212.1546628186,287.9309924565
14,226.2003000465,224.8862368999,294.0583519044
15,219.3581716451,215.0857284365,295.9432433005
16,205.3092783045,200.0512129683,293.9892081627
17,222.6712005976,218.1259703508,299.8039043083
18,227.3629976354,224.9953652185,302.5126904655
19,220.2158128430,217.4679280122,307.8915112673
20,208.0089156179,202.4242924716,305.0413950289
