image,mean_err_px,median_err_px,rmse_err_px,min_err_px,max_err_px,max_err_joint,csv,json,overlay
sample_0010_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000000.jpg,1.2774360106,0.7515078788,1.8708028216,0.0293930706,5.1458679058,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0010_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000000_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0010_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000000_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0010_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000000_mano_vs_gt.jpg
sample_0011_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000041.jpg,1.2894655476,0.7279190126,2.0417326311,0.2000797872,6.2454277726,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0011_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000041_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0011_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000041_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0011_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000041_mano_vs_gt.jpg
sample_0012_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000091.jpg,1.3505651078,0.7918106077,2.0345099236,0.3489785836,6.4120232198,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0012_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000091_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0012_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000091_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0012_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000091_mano_vs_gt.jpg
sample_0013_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000133.jpg,1.2672325109,0.7488876230,1.9980262641,0.1178454318,5.8587303060,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0013_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000133_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0013_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000133_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0013_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000133_mano_vs_gt.jpg
sample_0014_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000174.jpg,1.3627724656,0.7553956337,1.9166188942,0.2814853215,5.4150409865,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0014_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000174_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0014_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000174_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0014_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000174_mano_vs_gt.jpg
sample_0015_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000022.jpg,1.3532626859,0.6359302799,2.1842333535,0.2564455222,6.2185908005,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0015_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000022_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0015_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000022_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0015_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000022_mano_vs_gt.jpg
sample_0016_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000061.jpg,1.1931694883,0.5546809399,1.8908188978,0.1867330663,5.6521837543,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0016_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000061_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0016_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000061_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0016_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000061_mano_vs_gt.jpg
sample_0017_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000101.jpg,1.2181491275,0.7029573917,1.8783122515,0.0592416667,5.4237549043,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0017_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000101_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0017_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000101_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0017_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000101_mano_vs_gt.jpg
sample_0018_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000140.jpg,1.2910468613,0.7425912444,1.9237484820,0.1766744040,5.5802060507,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0018_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000140_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0018_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000140_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0018_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000140_mano_vs_gt.jpg
sample_0019_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000180.jpg,1.4023601636,0.8165805017,2.1604583246,0.0805345930,6.0783882482,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0019_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000180_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0019_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000180_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0019_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000180_mano_vs_gt.jpg
