joint,mean_err_px,median_err_px,max_err_px
0,8.303387866114303,6.203839336601739,18.504994241023773
1,7.606134008917975,5.943184175895758,12.555329229265524
2,6.91261640664017,5.6566341359277965,13.460700109107712
3,7.952579559175956,6.106222355449595,13.824722854426817
4,13.061528840181671,15.1362179357064,19.342421315126842
5,8.071450018675645,5.254228899666852,20.74030340980531
6,6.923418734742714,4.88467099678847,19.450790550538294
7,7.0580882004690455,5.944181152905505,14.713923418162045
8,10.586257865831879,10.053377565041503,13.515036601698368
9,7.929710315681194,5.940055746662705,23.748482747614922
10,10.918427622091457,10.061276334793748,23.585334753467098
11,14.767551436623071,14.925032954063807,19.70841078074308
12,18.102333768951883,22.485355114682857,26.2199038116978
13,10.457320435958996,6.321730505623277,23.428122991079306
14,14.935013011037857,16.801195642544478,25.562616616148635
15,16.09716261757297,23.310055481837722,24.415776582360504
16,20.788161873832603,20.90421314333221,32.978733491107334
17,13.807203625253383,11.988929323942997,22.38361494222035
18,15.962730285008373,20.143779354568956,23.871196584927922
19,17.000158248929996,23.9760629077345,28.663875160218517
20,20.89563508976437,21.286930840189207,35.95409850204898
